"Dependentes","Estado.Civil","Idade","Conta.Poupanca","Conta.Salario","Cheque.Sem.Fundo","Conta.Conjunta","Valor.Emprestimo","Multa","Juros","Valor.Emprestimo.Atualizado","PAGO","ID"
2,2,1,2,1,1,1,2,1,1,1,1,1397197
2,2,3,2,1,1,1,3,2,3,3,1,1304323
2,4,1,2,1,1,1,3,1,2,2,1,1423423
2,2,1,2,1,1,1,2,1,2,2,1,1419715
2,2,1,2,1,1,1,2,1,1,1,1,1478611
1,4,2,2,1,1,1,3,1,2,2,1,1382740
2,2,1,2,1,1,1,2,2,1,1,1,1447768
2,2,3,2,1,2,1,3,2,3,3,1,1450036
1,2,3,2,1,2,1,3,3,3,3,1,1419667
1,4,2,2,1,1,1,2,3,2,2,1,1397731
2,2,2,2,1,1,1,2,1,2,1,1,1393408
1,2,2,2,1,2,1,3,1,3,2,1,1338580
1,8,3,1,1,1,1,2,2,2,1,1,1351633
1,4,2,2,1,1,1,2,1,1,1,1,1329085
1,2,2,2,1,1,1,2,1,1,1,1,1358341
1,4,3,2,1,2,1,2,1,1,1,1,1381999
1,2,2,2,1,1,1,2,2,1,1,1,1426528
1,2,3,2,1,1,1,3,3,2,3,1,1510246
2,2,2,2,1,1,2,2,1,1,1,1,1388209
1,4,1,2,2,2,1,2,2,1,1,1,1375780
2,2,1,2,1,1,1,2,2,1,1,1,1448314
2,2,1,2,1,2,1,3,2,2,2,1,1502656
1,4,2,2,1,1,1,2,2,1,1,1,1378939
1,2,3,2,1,2,2,2,2,1,1,1,1480078
2,2,2,2,1,1,1,2,2,2,2,1,1369576
1,8,3,1,1,1,1,2,3,2,2,1,1368400
2,2,1,2,1,1,1,3,3,3,3,1,1468639
1,4,3,2,1,1,1,2,3,3,3,1,1297780
2,2,2,2,1,1,1,2,1,2,1,1,1368166
1,4,1,2,1,1,1,2,2,1,1,1,1394140
2,2,2,2,1,1,1,3,3,3,3,1,46996189
1,3,2,1,1,1,1,3,3,3,3,1,16806286468
2,2,2,2,1,1,1,2,2,1,1,1,1372072
2,2,1,2,1,1,1,3,2,2,3,1,1419880
2,2,2,2,1,1,1,2,2,1,1,1,1328440
2,2,2,2,1,2,1,2,1,1,1,1,1429096
1,4,1,2,1,1,1,2,2,1,1,1,1353730
1,2,3,2,1,2,2,3,2,3,3,1,1407952
1,4,3,2,1,1,1,2,3,2,2,1,1380388
2,2,2,2,1,1,1,2,1,2,2,1,1369660
